[2017/3/7 20:27:52] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-07","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/7 20:31:45] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-07","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/7 20:33:32] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-07","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/7 20:36:19] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-07","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/7 20:37:30] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-07","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/7 20:41:16] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-07","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/8 9:39:52] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-08","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/8 9:47:41] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-08","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/8 9:56:45] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-08","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/8 10:21:58] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-08","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/8 10:24:58] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-08","mc":"云POS连锁版","bm":"yunposlsb"}]}

[2017/3/8 10:28:21] 调取服务接口 id_cyuser: 3261648784314624 RequestStr:     {"State":"Done","Message":"","Number":"","Data":[{"id_product":"3261737366294784","id_master":"3261648784314624","rq_begin":"2017-02-07","rq_end_current":"2018-02-07","rq_end":"2019-02-07","sl":"3","sl_next":"1","flag_stop":"0","rq_create":"2017-03-08","mc":"云POS连锁版","bm":"yunposlsb"}]}

